catalog_id,collection_id,title,noinduk_deposit,publishlocation,tag_090
152242,413352,"Faktor-faktor yang berpengaruh terhadap kelahiran anak dari generasi pasangan usia muda (baby boomers) di Kabupaten Mojokerto / Ruslan Majid",,,"CB-D.13 95-4621"
90165,422225,"Analisis tingkat kepuasan pengguna jasa terhadap kualitas layanan di balai Latihan Kesenian lima wilayah kotamadya Propinsi DKI Jakarta / oleh: Rusmantoro",,,"CB[G]-D.9 05-2270"
240940,437213,"Pengaruh pemberian kerangka isi modul terhadap latihan dan perolehan belajar / oleh Kiswati",,,"CB-D.13 94-656/1977-94"
257639,440572,"Hubungan tingkat pendidikan pengalaman penataran dan motivasi kerja dengan performansi mengajar guru-guru STM Negeri Kotamadya Medan / oleh Saut Purba",,,"CB-D.13 94-655/1975-94"
267908,443864,"Pengajaran pencerminan dengan alat geoboard untuk siswa kelas V sekolah dasar negeri Sumbersari III Kodya Malang / Dudung Priatna",,,"CB-D.13 97-32"
37525,453526,"Strategi penempatan tenaga kerja asing/TKA di CNOOC SES Ltd., Indonesia dan penempatan Tenaga Kerja Indonesia/TKI di luar Indonesia / diajukan oleh Amyra Sindukusumo",,,"CB [G] - D.9 05-2047"
226746,464187,"Analisis pelaksanaan pemeriksaan ulang ditinjau dari kepastian hukum wajib pajak / K. Bayu Indarto",,,"CB[G]-D.9 05-1176"
49146,460920,"Koleksi naskah pilihan Perpustakaan Nasional RI = Selected manuscript collection of the National Library of Indonesia / editor, Sri Sumekar, Dady P Rachmananta, Nindya Noegraha",,"Jakarta :","CB - D.10 99--2633"
46791,459501,"Aktifitas antifertilitas ekstrak buah terong (Solanum melongena) serta pengaruhnya pada histologi hati dan vesika seminalis mencit putih / Oleh : Yohannes Fong",,,"CB [G] - D.13 93-2464/2272-94"
55190,468738,"Resistensi sel darah merah dengan Southeast Asian ovalocytosis (SAO) terhadap malaria : variasi resistensi yang berhubungan dengan etnis dan geografis / oleh, Yuwono",,,"CB[G]-D.9 02-326"
149366,462539,"Analisis kepuasan pengunjung di Taman Margasatwa Ragunan (TMR) / oleh Agus Lusianto",,,"CB [G] - D.9 05-1075"
147020,467473,"Kesiapan Indonesia dalam menghadapi pembentukan kawasan perdagangan bebas ASEAN - China / China ASEAN free trade area (CAFTA) / oleh, Khotijahtus Sadiyah",,,"CB[G]-D.9 06-42"
196734,473824,"Pengaruh pemanfaatan E-procurement pada proses pengadaan barang di departemen procurement Gulf (Indonesia ) resources LTD. terhadap peningkatan kinerja / M. Yusuf Sufyadi",,,"CB[G]-D.10 04-669"
38791,476009,"Perspektif stakeholder dalam Upaya adaptasi tanggung jawab sosial perusahaan / oleh, Wakhid Nurrokhim",,,"CB [G] - D.10 05-2253"
21103,475177,"Deskripsi karakteristik perilaku konsumen : (studi kasus DHL Express) / oleh, Tetty Mashita",,,"CB[G]-D.9 06-99"
174085,478298,"Model prediksi kegagalan bank (bank failure) : studi kasus perbankan di zindonesia periode tahun 1997-1999 / oleh: M.E.B. Rullyna Maharani",,,"CB[G]-D.9 04-939"
177037,478304,"Strategi komunikasi pemasaran operator seluler untuk segmen pelanggan korporasi (Studi kasus pada komunikasi pemasaran segmen korporasi PT. Telkomsel) / Dian Ediana Soehardjo",,,"CB[G]-D.9 04-1103"
167776,479883,"Upaya penyelasaian konplik antara Masyarakat Mahato dengan PT. Torganda di Tambusai Utara Kab. Rokan Hulu Propinsi Riau / Ade Yudistira",,,"CB[G]-D.10 04-1108"
132686,482833,"Agroforestri pada tanah masam di daerah tropika basah : pengelolaan interaksi antara pohon-tanah-tanaman semusim / K. Hairiah ... [et al.]",,"Bogor :","CB-D.10 00-2"
63612,502887,"Pengaruh teknik pemberian umpan balik dan jenis kelamin terhadap hasil belajar murid dalam Bahasa Indonesia / Ibrahim Gultom",,,"CB-D.9 90-899"
16208,538970,"Islam dalam tinjauan Madilog Tan Malaka beberapa aspek penting / oleh Hamka",,,"CB [G] - D.10 05-2146"
169814,532323,"Kajian tentang harga obat yang rasional untuk pelayanan kesehatan dasar / Selma Siahaan...[et al.]",,2006,"CB [G] - D.13 06-2642"
166087,545901,"Faktor-faktor risiko yang mempengaruhi tuli akibat bising pada penerbang helikopter TNI Au / oleh, Kholidah Hanum",,,"CB[G]-D.9 04-265"
93506,547857,"Keefektifan penggunaan media audio dalam kegiatan belajar tunanetra / oleh Ishartiwi",,"Malang :","CB-D.13 91-1920/3031/92"
5792,544567,"Strategi komunikasi pemasaran word-of -mouth dalam industri multi level marketing : Studi komperatif amway dan dwiki / oleh Pandu Pratoadi",,"Jakarta :","CB[G]-D.9 05 -2215"
142628,551596,"Oposisi di Indonesia : studi tentang Partai Rakyat Demokratik pada masa Orde Baru (1996 - 19980 / oleh, Suryani",,2005,"CB [G] - D.9 05-2155"
163722,557569,"Tinjauan sengketa pajak mengenai faktur pajak yang diatur dalam pasal 13 ayat (5) undang-undang pajak pertambahan nilai (Faktur pajak tidak lengkap atau cacat ) / Herianto",,,"CB[G]-D.9 04-1091"
196463,555440,"Pola penyimpangan dan viktimisasianak jalanan di wilayah Jakarta Barat / Amrin Suit",,,"CB[G]-D.10 04-1050"
53611,557268,"Penegakan hukum di bidang perikanan laut di kotamadya daerah tingkat II Ujung Pandang : Studi korelasi antara penegakan hukum dengan kepatuhan nelayan terhadap ketentuan perikanan laut )/ Said Sampara",,1996,"CB[G]-D.13 96-395"
38505,550730,"Militer dan bisnis di Indonesia : (Analisa kontrol Sipil atas Militer / oleh, Abas",,,"CB [G] - D.10 05-2255"
156118,547656,"Strategi pemasaran produk pelayanan jasa teknis : (studi kasus pada Balai Besar Kimia dan Kemasan Jakarta) / oleh, Sugiyarto",,2005,"CB [G] - D.9 05-1384"
207421,555243,"Pre -Service Training jurnalistik untuk pembentuk kompetesi wartawan / Dwi Agus Riyanto",,,"CB[G]-D.9 04-866"
54750,585053,"Pengaruh pemberian umpan balik dan lembar kerja praktikum terhadap prestasi belajar siswa pada praktikum kimia : studi eksperimental di SMA Kotamadya Medan / Mananti Marihot Tambunan",,,"CB-D.9 90-896"
26517,584664,"Analisis regresi linier berganda pada kondisi otokorelasi : aplikasi dalam studi pengaruh beberapa faktor terhadap pertumbuhan penduduk Propinsi Daerah Tingkat I Jawa Timur / Sunlip Wibisono",,,"CB[G]-D.13 97-208"
16354,611075,"Pengaruh insentif pajak di negara Indonesia, thailand vietnam,Filipina, malasia dan Cina terhadap laba bersih perusahaan pada PT,century textile Industri tbk / Firman",,"Jakarta :","CB[G]-D.9 2005-1077"
174589,615076,"Implementasi teknologi komunikasi intranet sebagai medi akomunikasi baru dalam organisasi : studi kasus media komunikasi www.intranet.telkom.co.id di PT telkomunikasi Indonesia, Tbk. / oleh Ratih Retno Wulandari",,,"CB[G]-D.9 04-936"
188411,610565,"Pembelajaran menulis deskripsi dengan penedekatan proses bagi siwa kelas V Sekolah Dasr / Lemian Leiwakabessy",,2000,"CB[G]-D.13 00-287"
52456,612646,"Hubungan ulama-umara di Indonesia : studi tentang Majelis Ulama Indonesia (MUI) / oleh Iding Rosyidin",,,"CB [G] - D.10 04-853"
3011,619940,"Warisan kultural dalam perspektif masyarakat : studi kasus kawasan situs Banten Lama / oleh M. Irfan Mahmud",,,"CB [G] - D.9 05-2331"
146298,628788,"Keanekaragaman molekul virus hepatitis B dan kaitannya dengan latar belakang populasi manusia di Indonesia / Neni Nurainy",,2005,"CB [G]-D.9 05-2072"
209591,621438,"Kajian yuridis terhadap sahnya perkawinan nyeburin berbeda wangsa di Kabupaten Daerah Tingkat II Tabanan / I Nyoman Suyatna",,,"CB[G]-D.13 97-199"
6030,620257,"Ekuitas Merek Produk ( Kasus Ekuitas Minuman Teh Dalam Kemasan Botol Frestea) / Yudha Tembaga Isnadi",,2005,"CB[G]-D.9 05-2220"
63420,619915,"Aku tahun tentang sungai / Beni S. Ambarjaya ; editor, Muhammad Habibie ; desain sampul, Anto Budi",,"Solo :","CB-D.12 2010-1293"
146028,621918,"Reprentasi Tentara Amerika Serikat Dalam Foto Berita Di Surat Kabar Nasional ( Analisis Semiotika Foto Berita Tentang Tentara Amerika Serikat Selama 21 Hari Pertama Perang Irak Di Halaman Satu Surat Kabar Republika ) / Roby Irsyad",,2005,"CB [G]-D.9 05-2289"
18910,618387,"Pengelolaan komunikasi promosi pemasaran potensi daerah : Studi kasus badan komunikasi dan penegmbangan usaha kabupaten Sukabubi / oleh Budi Taruna",,2005,"CB[G]-D.9 2005-1093"
174084,632504,"Eksistensi pesantren : organisasi, kepemimpinan dan tradisi internal ; (studi kasus Pesantren Tebuireng, Jombang, Jawa Timur) / oleh: Wardana",,,"CB[G]-D.9 04-937"
189001,627225,"Radio sebagai medium Informasi ( Studi kasus pada radio''Suara Metro Emergency Assistance 91.1 FM Mhz'') / Riama Luciana S.",,,"CB[G]-D.9 04-514"
165495,627230,"Kualitas pelayanan kepabeanan studi kasus pada kantor pelayanan Bea dan Cukai Tanjung Priok II Jakarta / Mulatno",,,"CB[G]-D.9 04-646"
269467,626003,"Undang-undang RI Nomor 28 tahun 2004 tentang perubahan atas undang-undang nomor 16 tahun 2001 tentang yayasan",,"Jakarta :",CB-D.9-07-5358
207423,633822,"Kerjasama pengelolaan ikan tuna di kawasan Pasifik Selatan / Vivie Damayanti",,,"CB[G]-D.9 04-871"
29173,637073,"Produk Domestik Regional Bruto Kabupaten Sukabumi tahun 2006",,"Sukabumi :","CLp-D.10 2007/6793-2008"
201954,638926,"Faktor-faktor yang mempengaruhi sikap mahasiswa Program Penyetaraan D II PGSD Universitas Terbuka terhadap kegiatan tutorial / oleh: Joko Santoso D.U.",,,"CB[G]-D.13 94-4301"
161468,666696,"penegakan hukum linkungan dalam kasus dana reboisasi / Bangbang Sugiono",,,"CB[G]-D.13 97-127"
49299,663570,"Upaya komunikasi korporasi untuk mengelola serta memelihara citra,opini dan persepsi perusahaan : ( studi kasus di perusahaan telkomsel ) / oleh Singal Mulia Silitonga",,2005,"CB[G]-D.13 2005-1091"
231591,680019,"Produk domestik regional bruto kabupaten Batang hari menurut penggunaan tahun 2007",,"Jambi :","CLp-D.5 2007/7006-2009"
183661,680146,"Funsi dan wewenang badan pengendalian dampak linkungan (Bapedal) dalam pengelolaan linkungan / Hari Trihariyanto",,,"CB[G]-D.13 97-130"
189705,714004,"Pendekatan Cross sectional / Ali Yusran",,,"CB[G]-D.13 98-212"
666,1041836,"Bina : Membina wawasan cinta hutan dan lingkungan",,"Semarang :","CM-D.12 2004/1373-2004"
15106,1042030,"Solo Pos",,"Solo :","CSk-D. 12  05 - 6767"
74227,1042160,"Audio Video/ Audiomedia Nusantara",,"Jakarta :","CM-D. 9 2000-0760"
242077,1042511,Mangle,,"Bandung :","CM - D.10 96 S 0073"
242077,1042342,Mangle,,"Bandung :","CM - D.10 96 S 0073"
1706,1041916,"Gloria Juris",,"Jakarta :","CM-D.9 2004/1372-2004"
39576,1042040,"IPTEK : Jurnal Ilmu Pengetahuan Alam dan Teknologi",,Surabaya:,"CM - D.13 97 S  0133"
1707,1041918,"Warta Pusat Penelitian Kelapa Sawit",,"Medan :","CM-D.2  1996/0159-1997"
1709,1041923,"Indonesia magazine",,"Jakarta :","CM-D.9 1994/5782-1995"
16356,1051037,"Manusia dan organisasi / oleh Rafael Steinberg; editor Pustaka Time-Life, Sumadia, Dicky Sutadi",,"Djakarta :","CB-D.9 90-796"
216806,1103210,"Elemen mesin 1 / Muchayar ; penyunting : Gatot Subyargo W.",,"Jakarta :","CB-D.9 2011-2926/7193-2011"
181609,1106594,"Red river / Shinohara Chie ; alihbahasa, Cleo",,Jakarta,"CB-D.9 2011-1801"
165914,1214403,"SKJ (Seleb Kota Jogja) [rekaman video] / a film by Lakonde ; producer, Chand Parwez Servia",,"Jakarta :","RFD-D.9 2010-009/55-2011"
203507,1214416,"Red Co-bex [rekaman video] : pembasmi keonaran, kemaksiatan & kemudharatan / a film by Upi ; producer, Chand Parwz Servia",,"Jakarta :","RFD-D.9  2010-5/51-2011"
848303,1532519,"Over ekspresi gen pengkode enzim desaturase untuk meningkatkan produksi omega 3 pada ikan mas / oleh, Yuniar Mulyani, Indah Riyantini, Yeni Mulyani",,,"CB[G]-D.10 2012-2463/1992-2013"
203562,1756483,"Membentuk karakter pengusaha / Jackie Ambadar, Miranty Abidin, Yanty Isa ; penyunting, Budhyastuti R.H. dan Indradya SP",,"Bandung :","CB-D.10 2010-1486"
189332,2020701,"Produk domestik regional bruto (PDRB) kabupaten Purwakarta menurut penggunaan tahun 2006",,"Purwakarta :",CLp-D.10
189332,2020702,"Produk domestik regional bruto (PDRB) kabupaten Purwakarta menurut penggunaan tahun 2006",,"Purwakarta :",CLp-D.10
28910,2020381,"Profil DPRD provinsi Jawa Barat periode 2004-2009",,"Bandung :","CLp-D.10 2005/6626-2007"
28910,2020388,"Profil DPRD provinsi Jawa Barat periode 2004-2009",,"Bandung :","CLp-D.10 2005/6626-2007"
28908,2020535,"Abstrak hasil penelitian teknologi perbenihan",,"Bogor :","CLp-D.10 2004/6623-2007"
28910,2018182,"Profil DPRD provinsi Jawa Barat periode 2004-2009",,"Bandung :","CLp-D.10 2005/6626-2007"
28910,2018183,"Profil DPRD provinsi Jawa Barat periode 2004-2009",,"Bandung :","CLp-D.10 2005/6626-2007"
145618,2051390,"Statistik kunjungan tamu mancanegara di Jawa Timur tahun 2006",,"Surabaya :","CLp-D.13 2005/6475-2006"
145618,2051391,"Statistik kunjungan tamu mancanegara di Jawa Timur tahun 2006",,"Surabaya :","CLp-D.13 2005/6475-2006"
113853,2049959,"Laporan eksekutif lingkungan hidup di Provinsi Jawa Timur hasil Podes 2008",,"Surabaya :","CLp-D.13 2003/6339-2005"
113853,2049967,"Laporan eksekutif lingkungan hidup di Provinsi Jawa Timur hasil Podes 2008",,"Surabaya :","CLp-D.13 2003/6339-2005"
76239,2058323,"Ringkasan hasil penelitian Balai Besar Penelitian dan Pengembangan Pelayanan Kesejahteraan Sosial (B2P3KS) tahun 2005-2006",,"Yogyakarta :","CLp-D.11 2006/6893-2008"
12524,2101199,"Statistik kesejahteraan rakyat Sulawesi Tenggara 2006 ; Survei Sosial Ekonomi Nasional",,"Kendari :","CLp-D.22 1999/2214-2000"
75949,2058368,"Statistik keuangan daerah Provinsi Daerah Istimewa Yogyakarta 2005 = Regional financial statistics Daerah Istimewa Yogyakarta Province 2005",,"Yogyakarta :","CLp-D.11 2005/6611-2007"
54580,2101908,"Direktori desa 2006 - Directory of villages 2006",,"Kendari :","CLp-D.22 2004/6413-2006"
29173,2042642,"Produk Domestik Regional Bruto Kabupaten Sukabumi tahun 2006",,"Sukabumi :","CLp-D.10 2007/6793-2008"
37063,2049192,"Indikator pertanian provinsi Nusa Tenggara Barat 2006 = Agricultural indicators Nusa Tenggara Barat province 2006",,"Mataram :","CLp-D.15 2006/6541-2007"
12524,2101198,"Statistik kesejahteraan rakyat Sulawesi Tenggara 2006 ; Survei Sosial Ekonomi Nasional",,"Kendari :","CLp-D.22 1999/2214-2000"
35961,2109809,"Indeks harga konsumen dan inflasi Sulawesi Tenggara tahun 2006",,"Kendari :","CLp-D.22 1994/5923-1995"
1561,2109811,"Indikator ekonomi provinsi Sulawesi Tenggara 2006",,"Kendari :","CLp-D.22 1994/2776-1995"
729612,2047530,"Kota Pasuruan dalam Angka 2012 = Pasuruan City in Figures 2012",,"Pasuruan :","CLp-D.13 1993 S 0960"
12519,2106469,"Statistik harga konsumen makanan pedesaan provinsi Sulawesi Tenggara 2006",,"Kendari :","CLp-D.22 2006/6549-2007"
12519,2106470,"Statistik harga konsumen makanan pedesaan provinsi Sulawesi Tenggara 2006",,"Kendari :","CLp-D.22 2006/6549-2007"
28180,2109815,"Survei harga barang dan jasa (SHJB) provinsi Sulawesi Tenggara tahun 2007",,"Kendari :","CLp-D.22 2007/6868-2008"
14766,2110275,"Keadaan ketenagakerjaan provinsi Sulawesi Tenggara 2006",,"Kendari :","CLp-D.22 1994/2674-1995"
14287,2444761,"Sinar Tani",,"Jakarta :","CSk - D. 9  03 - 67816"
14285,2435638,"Wiyata Mandala",,"Denpasar :","CSk-D. 14  02 - 6815"
731807,2438259,"Bisnis Bali April - Juni 2002",,"Denpasar :","CSk-D. 14  2002-0328/10475"
14285,2435637,"Wiyata Mandala",,"Denpasar :","CSk-D. 14  02 - 6815"
